"name","group","element","units","context","S35227","S35228","S35229","S35230","S35231","S35232","S35233","S35234","S35235","S35236","S35237","S35238","S35239","S35240","S35241","S35242","S35243","S35244","S35245","S35246","S35247","S35248","S35249","S35250","S35251","S35252","S35253","S35254","S35255","S35256","S35257","S35258","S35259","S35260","S35261","S35262","S35263","S35264","S35265","S35266","S35267","S35268","S35269","S35270","S35271","S35272","S35273","S35274","S35275","S35276","S35277","S35278","S35279","S35280","S35281","S35282","S35283","S35284","S35285","S35286","S35287","S35288","S35289","S35290","S35291","S35292","S35293","S35294"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,1,2,3,5,8,10,11,14,14.2,16.8,18,19.2,21,21.8,23,24.2,26,28,28.5,31,32.5,33.5,38.2,44,49.8,55.5,61.2,63,67,70,72.8,78.5,84.5,90,93.5,96,97.8,101.8,103.5,107.2,109,114.8,120.5,126.2,132,137.8,143.5,145.2,146.5,147.5,150.8,152.5,154,155.8,158.5,161,164,164.8,166.2,168.8,171.2,174,176.5,181.5,192,197.2,207.5,220
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,35227,35228,35229,35230,35231,35232,35233,35234,35235,35236,35237,35238,35239,35240,35241,35242,35243,35244,35245,35246,35247,35248,35249,35250,35251,35252,35253,35254,35255,35256,35257,35258,35259,35260,35261,35262,35263,35264,35265,35266,35267,35268,35269,35270,35271,35272,35273,35274,35275,35276,35277,35278,35279,35280,35281,35282,35283,35284,35285,35286,35287,35288,35289,35290,35291,35292,35293,35294
NAPD 1,Radiocarbon years BP,,,,--/82/--,--/174/--,--/267/--,--/452/--,--/729/--,--/914/--,--/1007/--,--/1284/--,--/1303/--,--/1544/--,--/1655/--,--/1766/--,--/1932/--,--/2006/--,--/2117/--,--/2228/--,--/2395/--,--/2580/--,--/2626/--,--/2858/--,--/2996/--,--/3089/--,--/3524/--,--/4060/--,--/4597/--,--/5125/--,--/5652/--,--/5819/--,--/6189/--,--/6466/--,--/6725/--,--/7253/--,--/7808/--,--/8317/--,--/8641/--,--/8872/--,--/9039/--,--/9409/--,--/9566/--,--/9909/--,--/10075/--,--/10612/--,--/11139/--,--/11667/--,--/12203/--,--/12740/--,--/13267/--,--/13412/--,--/13509/--,--/13584/--,--/13830/--,--/13957/--,--/14069/--,--/14203/--,--/14405/--,--/14592/--,--/14816/--,--/14875/--,--/14980/--,--/15174/--,--/15353/--,--/15562/--,--/15749/--,--/16122/--,--/16906/--,--/17294/--,--/18062/--,--/18996/--
Abies,TRSH,pollen,NISP,,5,2,6,7,3,14,10,8,24,6,12,5,12,8,4,4,9,12,6,10,8,1,4,12,9,4,7,4,6,7,4,4,2,9,6,4,2,8,5,7,4,5,9,6,4,8,13,32,21,14,2,8,4,3,10,5,13,2,4,3,3,4,,,1,,,1
Acer,TRSH,pollen,NISP,,,3,1,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,2,,,,,,,,
Alnus,TRSH,pollen,NISP,,1,,2,,,,,,,,,1,,,,,,,,,,,,,1,,2,,,,,,1,,,,1,,,1,,,,,,,,1,,,1,,,2,,,,,,,,,,,1,,,
Amaranthaceae undiff.,UPHE,pollen,NISP,,32,,15,14,20,22,18,15,20,19,10,14,23,29,36,26,25,18,16,21,25,26,16,19,25,25,17,28,20,13,27,21,29,22,12,15,29,19,22,31,16,18,20,6,9,7,11,9,14,17,14,13,10,9,7,9,8,18,9,5,7,6,3,3,2,2,3,1
