"name","group","element","units","context","S62178","S62179","S62180","S62181","S62182","S62183","S62184","S62185","S62186","S62187","S62188","S62189","S62190","S62191","S62192","S62193","S62194","S62195"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0,2,14,24,29,34,44,59,69,76,84,89,94,104,109,119,124,134
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,62178,62179,62180,62181,62182,62183,62184,62185,62186,62187,62188,62189,62190,62191,62192,62193,62194,62195
Markgraf et al. 1984,Radiocarbon years BP,,,,--/0/--,--/189/--,--/1322/--,--/2266/--,--/2739/--,--/3211/--,--/4155/--,--/5572/--,--/6516/--,--/7177/--,--/7932/--,--/8404/--,--/8877/--,--/9821/--,--/10293/--,--/11237/--,--/11710/--,--/12654/--
Abies,TRSH,pollen,NISP,,,,1,1,,,,,1,1,,,1,3,,,,2
Amaranthaceae undiff.,UPHE,pollen,NISP,,78,72,76,90,80,285,95,61,65,26,4,,2,,,,,1
Ambrosia-type,UPHE,pollen,NISP,,,,,,,4,,,,,,,,,,,,
Artemisia,UPHE,pollen,NISP,,,11,2,8,2,10,,1,2,2,,,,,,1,,
Asteroideae undiff.,UPHE,pollen,NISP,,2,3,11,2,,8,9,3,1,,,,,,,,1,
Botryococcus,ALGA,colony,NISP,,,1,2,1,,,3,26,,,9,10,31,61,10,73,,10
Cyperaceae,UPHE,pollen,NISP,,2,1,1,1,,1,,2,1,,,,,,,,,
Ephedra,TRSH,pollen,NISP,,,1,,1,10,,,,,,,,,,,,,
Eucalyptus spike,LABO,counted,number,,16,16,21,25,10,37,150,405,100,216,13,192,118,6,17,172,455,107
Eucalyptus tablets,LABO,concentration,grains/tablet,,13520,13520,13520,13520,13520,13520,13520,13520,13520,13520,13520,13520,13520,13520,13520,13520,13520,13520
Eucalyptus tablets,LABO,quantity added,number,,5,5,5,5,3,5,5,5,5,5,3,5,5,3,5,5,5,3
Indeterminable,UNID,pollen/spore,NISP,,5,7,5,9,7,,3,6,,1,,,,,,2,,
Juglans,TRSH,pollen,NISP,,,,2,,,,,,,,,2,,,,,,
Juniperus,TRSH,pollen,NISP,,1,1,2,2,1,7,3,1,8,2,2,,2,2,,,,
Pediastrum,ALGA,colony,NISP,,,,,,,,,,,,19,14,6,2,2,4,,9
Picea,TRSH,pollen,NISP,,,,2,3,2,4,,,9,16,18,,3,2,1,1,,3
Pinus,TRSH,pollen,NISP,,44,22,36,51,2,95,54,102,237,324,415,68,118,151,40,206,152,103
Poaceae,UPHE,pollen,NISP,,8,9,10,13,6,23,7,4,12,14,23,14,1,,5,2,9,7
Populus,TRSH,pollen,NISP,,,,,,,,,1,,,,,,,,,,
Potamogetonaceae,AQVP,pollen,NISP,,,,1,,,,,,,,,,,,,,,
Pseudotsuga,TRSH,pollen,NISP,,,,,,,,1,,2,1,,,,,,,,
Quercus,TRSH,pollen,NISP,,11,,1,2,,2,,1,,,,,,,,,,
Salix,TRSH,pollen,NISP,,,,,,,1,,,,,,,,,,,,
Sample quantity,LABO,dry mass,g,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Sarcobatus vermiculatus,TRSH,pollen,NISP,,70,97,76,74,18,67,70,30,5,6,2,,2,,,,1,
