"name","group","element","units","context","S131073","S131074","S131075","S131076","S131077","S131078","S131079","S131080","S131081","S131082","S131083","S131084","S131085","S131086","S131087","S131088","S131089","S131090","S131091","S131092","S131093","S131094","S131095","S131096","S131097","S131098","S131099","S131100","S131101","S131102","S131103","S131104","S131105","S131106","S131107","S131108","S131109"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0,20,40,60,80,95,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,623,640,660,680,700,720
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,131073,131074,131075,131076,131077,131078,131079,131080,131081,131082,131083,131084,131085,131086,131087,131088,131089,131090,131091,131092,131093,131094,131095,131096,131097,131098,131099,131100,131101,131102,131103,131104,131105,131106,131107,131108,131109
Neotoma 1,Calibrated radiocarbon years BP,,,,-36/-42/-48,834/336/23,1313/718/256,1713/1099/530,2097/1489/876,2329/1777/1170,2724/2260/1682,2999/2648/2198,3559/3081/2749,4275/3573/3025,4909/4080/3366,5456/4597/3789,5927/5087/4238,6417/5601/4723,6831/6109/5243,7201/6605/5858,7498/7108/6559,7958/7517/7029,8448/7872/7326,8861/8221/7635,9226/8572/7933,9587/8929/8256,9909/9286/8609,10233/9641/8983,10553/10002/9401,10852/10338/9850,11304/10721/10309,11934/11148/10562,12478/11572/10857,13008/11992/11160,13544/12422/11483,14112/12916/11896,14525/13278/12188,15007/13704/12538,15495/14135/12920,15960/14567/13330,16223/14784/13522
Abies,TRSH,pollen,NISP,,22,10,9,13,13,10,6,1,5,6,3,3,2,2,3,3,2,1,1,,,3,2,26,6,5,4,1,3,3,3,1,1,,1,,
Alnus,TRSH,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthaceae,UPHE,pollen,NISP,,4,21,21,14,26,21,12,31,27,19,35,18,11,14,21,15,13,41,6,23,27,9,32,13,12,9,13,21,18,14,16,14,13,10,5,4,11
Ambrosia,UPHE,pollen,NISP,,8,8,11,13,3,18,8,12,16,13,14,6,12,6,6,18,4,12,2,9,3,12,8,13,20,5,10,7,19,12,19,9,7,4,3,2,4
Apiaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Artemisia,UPHE,pollen,NISP,,19,35,8,23,21,18,27,57,43,34,32,22,31,19,26,19,46,25,21,16,40,18,39,17,29,13,47,145,104,143,137,213,138,129,120,129,135
Asteroideae undiff.,UPHE,pollen,NISP,,4,8,14,9,16,14,11,8,9,3,8,13,13,9,1,6,3,4,5,7,9,3,9,7,4,4,5,18,11,14,13,13,17,24,9,14,11
Betula,TRSH,pollen,NISP,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bistorta bistortoides,UPHE,pollen,NISP,,4,7,12,3,1,18,,8,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
Brassicaceae,UPHE,pollen,NISP,,1,3,3,1,,1,,,1,1,,,,,,,1,,,7,,,,,1,,,,,1,,,,,,,
Ceanothus,TRSH,pollen,NISP,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Cercocarpus,TRSH,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Cichorioideae,UPHE,pollen,NISP,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirsium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
